aisle_a,department_a,aisle_b,department_b,co_orders,share_of_orders,lift
preserved dips spreads,pantry,eggs,dairy eggs,19122,0.5947978054505403,1.366823011071992
fresh pasta,dry goods pasta,cleaning products,household,1284,0.03993935687681695,1.366702982860099
specialty cheeses,dairy eggs,yogurt,dairy eggs,27785,0.8642640426965411,1.3664548576652027
packaged meat,meat,packaged vegetables fruits,produce,16738,0.5206424886325249,1.366333625195429
cocoa drink mixes,beverages,lunch meat,deli,2593,0.08065634920684295,1.3663020481288999
paper goods,household,hot cereal pancake mixes,breakfast,12457,0.38748019362500674,1.3662805215736866
refrigerated,beverages,breakfast bars pastries,breakfast,10811,0.33628067538572276,1.3661324738906433
latino foods,international,spreads,pantry,7221,0.22461222430490277,1.3660658510675094
tofu meat alternatives,deli,eggs,dairy eggs,19846,0.6173181281754744,1.3660578741717473
refrigerated,beverages,lunch meat,deli,60977,1.8967150812131361,1.3658844640922665
prepared soups salads,deli,tortillas flat bread,bakery,4847,0.15076796166817114,1.3657261244315444
grains rice dried goods,dry goods pasta,cereal,breakfast,16540,0.5144836158431093,1.3654925683131647
coffee,beverages,salad dressing toppings,pantry,6619,0.20588676259162877,1.365441842942361
packaged cheese,dairy eggs,popcorn jerky,snacks,45791,1.4243482015158293,1.3652268036051052
frozen meals,frozen,muscles joints pain relief,personal care,1795,0.05583422554040999,1.3650227100740886
ice cream ice,frozen,paper goods,household,30217,0.9399124195847177,1.3650113241923971
soup broth bouillon,canned goods,digestion,personal care,2866,0.0891481283558858,1.3648907260604604
crackers,snacks,more household,household,2553,0.07941213248170846,1.3646447588515982
baby food formula,babies,packaged vegetables fruits,produce,74266,2.3100749827209404,1.3644320155223213
packaged cheese,dairy eggs,canned meat seafood,canned goods,19186,0.5967885522107553,1.3643247919484636
crackers,snacks,tea,beverages,28448,0.8848869349156453,1.364209374504201
granola,breakfast,milk,dairy eggs,30077,0.9355576610467471,1.363866169417006
fresh pasta,dry goods pasta,meat counter,meat,1000,0.031105418128362105,1.3638572591289402
frozen meat seafood,frozen,other creams cheeses,dairy eggs,8062,0.2507718809508553,1.3637045086597281
grains rice dried goods,dry goods pasta,yogurt,dairy eggs,47048,1.4634477121031804,1.3632490258708163
trash bags liners,household,breakfast bakery,bakery,2869,0.08924144461027088,1.3629095861314224
lunch meat,deli,ice cream toppings,snacks,1436,0.044667380432327985,1.3629068823445103
butter,dairy eggs,preserved dips spreads,pantry,10399,0.32346524311683755,1.3628538658924167
canned meals beans,canned goods,food storage,household,5311,0.16520087567973113,1.3621780659763187
condiments,pantry,cereal,breakfast,24177,0.7520356940894106,1.3621719900493616
pasta sauce,dry goods pasta,cookies cakes,snacks,16022,0.4983710092526177,1.3620741324163586
condiments,pantry,nuts seeds dried fruit,snacks,21083,0.6557955304002583,1.36196590832906
packaged poultry,meat,diapers wipes,babies,1073,0.03337611365173254,1.3619215196252301
packaged seafood,seafood,hot cereal pancake mixes,breakfast,1266,0.03937945935050643,1.361741200718603
baby food formula,babies,meat counter,meat,4340,0.13499751467709156,1.3616320802570967
candy chocolate,snacks,cereal,breakfast,28148,0.8755553094771366,1.3614648561771348
frozen meat seafood,frozen,poultry counter,meat,3595,0.11182397817146178,1.361331647057547
body lotions soap,personal care,tortillas flat bread,bakery,2719,0.08457563189101656,1.3610109871524176
baby accessories,babies,chips pretzels,snacks,1840,0.05723396935618627,1.360986071130572
specialty cheeses,dairy eggs,nuts seeds dried fruit,snacks,8469,0.2634317861290987,1.360633374341
oral hygiene,personal care,soup broth bouillon,canned goods,6311,0.19630629380809325,1.360607095740693
seafood counter,seafood,soup broth bouillon,canned goods,3326,0.10345662069493237,1.360539364400199
bakery desserts,bakery,juice nectars,beverages,4011,0.1247638321128604,1.360372343029855
kosher foods,international,lunch meat,deli,1499,0.0466270217744148,1.3599162120946737
latino foods,international,dish detergents,household,2529,0.07866560244662776,1.3596624729182463
coffee,beverages,spreads,pantry,18972,0.5901319927312859,1.3596082585570735
body lotions soap,personal care,hot cereal pancake mixes,breakfast,2183,0.06790312777421448,1.3595627331979427
canned meals beans,canned goods,yogurt,dairy eggs,80195,2.494499006803999,1.359462178217459
juice nectars,beverages,bread,bakery,64163,1.9958169433700979,1.3588763419287653
seafood counter,seafood,condiments,pantry,2381,0.07406200056363017,1.3588488867499013
salad dressing toppings,pantry,juice nectars,beverages,10576,0.32897090212555763,1.3588415835798004
packaged seafood,seafood,paper goods,household,1754,0.054558903397147133,1.3587772831587328
spreads,pantry,spices seasonings,pantry,17690,0.5502548466907257,1.3583433131578526
energy granola bars,snacks,asian foods,international,16274,0.5062095746209649,1.3583232433341166
granola,breakfast,baby food formula,babies,5655,0.1759011395158877,1.3582710113661665
honeys syrups nectars,pantry,frozen pizza,frozen,3783,0.11767179677959386,1.3581441143517747
juice nectars,beverages,hot cereal pancake mixes,breakfast,17673,0.5497260545825435,1.3579218698453235
fresh herbs,produce,nuts seeds dried fruit,snacks,32897,1.0232749401687282,1.357911699170601
facial care,personal care,crackers,snacks,1730,0.05381237336206645,1.3577238164603709
soup broth bouillon,canned goods,juice nectars,beverages,32565,1.0129479413501121,1.357722705961988
asian foods,international,digestion,personal care,1474,0.04584938632120575,1.3573656588487049
canned meals beans,canned goods,breakfast bakery,bakery,20870,0.6491700763389172,1.356839662042821
cookies cakes,snacks,canned meat seafood,canned goods,4907,0.15263428675587287,1.356837716397908
coffee,beverages,beers coolers,alcohol,2252,0.07004940162507146,1.3568350110429492
prepared soups salads,deli,energy granola bars,snacks,7408,0.2304289374949065,1.3565997036165935
chips pretzels,snacks,hot cereal pancake mixes,breakfast,32981,1.0258877952915106,1.3563002618880093
frozen vegan vegetarian,frozen,canned fruit applesauce,canned goods,2571,0.07997203000801897,1.3561518977180258
grains rice dried goods,dry goods pasta,crackers,snacks,20363,0.6333996293478376,1.3560400010278684
laundry,household,frozen appetizers sides,frozen,5612,0.17456360653636815,1.355984997281101
refrigerated,beverages,air fresheners candles,household,2979,0.09266304060439072,1.3559813358052604
canned jarred vegetables,canned goods,lunch meat,deli,33341,1.037085745817721,1.355944702378273
eggs,dairy eggs,spreads,pantry,46460,1.4451577262437034,1.3559417809974093
candy chocolate,snacks,frozen pizza,frozen,13050,0.4059257065751255,1.3555125334546327
coffee,beverages,hot cereal pancake mixes,breakfast,10986,0.3417241235581861,1.3553065577677663
kosher foods,international,nuts seeds dried fruit,snacks,1159,0.03605117961077168,1.3549893370345611
milk,dairy eggs,ice cream toppings,snacks,3358,0.10445199407503995,1.354939296931716
shave needs,personal care,juice nectars,beverages,1156,0.035957863356386593,1.3547508823207663
baking ingredients,pantry,soy lactosefree,dairy eggs,56744,1.7650458462757794,1.3547412859634047
coffee,beverages,frozen breakfast,frozen,14951,0.4650571064371419,1.354584661973393
laundry,household,dry pasta,dry goods pasta,7659,0.23823639744512537,1.3545416950432456
vitamins supplements,personal care,soup broth bouillon,canned goods,4515,0.1404409628495549,1.3544741976666572
frozen meat seafood,frozen,pickled goods olives,pantry,2948,0.0916987726424115,1.3544634656831895
hot dogs bacon sausage,meat,plates bowls cups flatware,household,4075,0.12675457887307556,1.3542750446719618
specialty cheeses,dairy eggs,bakery desserts,bakery,1070,0.03328279739734745,1.3542116712023562
soap,personal care,frozen produce,frozen,9138,0.28424131085697296,1.354063624144657
chips pretzels,snacks,body lotions soap,personal care,8050,0.25039861593331497,1.353832160165034
condiments,pantry,soy lactosefree,dairy eggs,44100,1.371748939460769,1.3536555364764946
dish detergents,household,other creams cheeses,dairy eggs,10307,0.32060354464902824,1.3534224436267128
energy sports drinks,beverages,canned meat seafood,canned goods,2002,0.06227304709298094,1.3534177808611263
butter,dairy eggs,crackers,snacks,37271,1.1593300390621841,1.3534067669825585
indian foods,international,lunch meat,deli,1861,0.05788718313688188,1.353342498922705
fresh vegetables,produce,canned meat seafood,canned goods,36820,1.1453014954862928,1.3533124184370293
baking ingredients,pantry,hair care,personal care,2637,0.08202498760449087,1.3532659515967005
baking ingredients,pantry,air fresheners candles,household,1708,0.053128054163242476,1.353262081808088
soap,personal care,frozen meals,frozen,5485,0.17061321843406616,1.353141233488884
tofu meat alternatives,deli,yogurt,dairy eggs,37810,1.1760958594333712,1.3531159714058585
prepared soups salads,deli,hot dogs bacon sausage,meat,7178,0.22327469132538322,1.3528455908872805
digestion,personal care,crackers,snacks,3909,0.12159107946376749,1.352419187087879
packaged seafood,seafood,soy lactosefree,dairy eggs,4722,0.14687978440212587,1.3522887635476302
granola,breakfast,packaged vegetables fruits,produce,44742,1.3917186178991774,1.3522739769317438
frozen meat seafood,frozen,grains rice dried goods,dry goods pasta,3764,0.11708079383515498,1.3522220516074643
cleaning products,household,dry pasta,dry goods pasta,8452,0.26290299402091655,1.3521551296333565
frozen breakfast,frozen,soy lactosefree,dairy eggs,45398,1.4121237721913829,1.3518417917787524
candy chocolate,snacks,fresh dips tapenades,deli,29593,0.9205026386726198,1.3513460290126036
soup broth bouillon,canned goods,packaged vegetables fruits,produce,132724,4.128435515668732,1.351319127656677
crackers,snacks,cleaning products,household,13708,0.42639307170358776,1.3513096889115805
popcorn jerky,snacks,trash bags liners,household,1882,0.05854039691757749,1.3513021204033229
butter,dairy eggs,fresh vegetables,produce,144133,4.483317231095215,1.3512415327646685
frozen meat seafood,frozen,butter,dairy eggs,6896,0.2145029634131851,1.3508969182823047
hair care,personal care,hot cereal pancake mixes,breakfast,1550,0.04821339809896127,1.3508884380441673
energy granola bars,snacks,packaged cheese,dairy eggs,86225,2.6820646781180226,1.350577816190485
butter,dairy eggs,frozen pizza,frozen,13970,0.43454269125321865,1.3505508282413525
baking ingredients,pantry,buns rolls,bakery,10827,0.3367783620757765,1.3503783691730944
hair care,personal care,bread,bakery,5621,0.1748435552995234,1.3503058290320202
marinades meat preparation,pantry,cream,dairy eggs,7235,0.22504770015869985,1.350190019010295
ice cream ice,frozen,shave needs,personal care,1411,0.04388974497911893,1.3498677140195254
hair care,personal care,candy chocolate,snacks,2383,0.0741242113998869,1.349769406360773
cream,dairy eggs,hot dogs bacon sausage,meat,33475,1.0412538718469215,1.34967382505436
cream,dairy eggs,lunch meat,deli,41383,1.2872355184060091,1.3495035734327345
frozen meat seafood,frozen,energy sports drinks,beverages,2225,0.06920955533560569,1.348872661617998
energy granola bars,snacks,latino foods,international,7929,0.24663486033978313,1.3488294184231258
specialty cheeses,dairy eggs,canned fruit applesauce,canned goods,2519,0.07835454826534415,1.348798998022761
juice nectars,beverages,pickled goods olives,pantry,12373,0.3848673385022244,1.3487256880033338
soup broth bouillon,canned goods,deodorants,personal care,1562,0.04858666311650161,1.3486230362976817
hair care,personal care,chips pretzels,snacks,5730,0.1782340458755149,1.3485462280891116
soup broth bouillon,canned goods,spreads,pantry,28093,0.8738445114800767,1.3485434412161863
cocoa drink mixes,beverages,bread,bakery,4037,0.12557257298419783,1.3484312462695263
packaged poultry,meat,breakfast bakery,bakery,10624,0.33046396219571905,1.3483390991601194
oral hygiene,personal care,canned meals beans,canned goods,5229,0.16265023139320545,1.3482989688461842
ice cream ice,frozen,eye ear care,personal care,1275,0.039659408113661684,1.348118528106509
poultry counter,meat,yogurt,dairy eggs,44125,1.3725265749139781,1.3476756911647874
eggs,dairy eggs,frozen dessert,frozen,3465,0.1077802738147747,1.347624473728871
fresh vegetables,produce,other creams cheeses,dairy eggs,166456,5.177683479974643,1.3474775491107407
packaged cheese,dairy eggs,packaged vegetables fruits,produce,364617,11.341564241709007,1.3471024967865752
candy chocolate,snacks,doughs gelatins bake mixes,pantry,8380,0.2606634039156745,1.346975617399152
breakfast bakery,bakery,feminine care,personal care,1541,0.047933449335806004,1.3468193188359978
frozen meals,frozen,diapers wipes,babies,2199,0.06840081446426828,1.3466573916596032
frozen breakfast,frozen,meat counter,meat,5721,0.1779540971123596,1.3462665696096605
prepared soups salads,deli,packaged vegetables fruits,produce,31160,0.9692448288797633,1.345939416581141
asian foods,international,packaged vegetables fruits,produce,68358,2.126304172418577,1.345784391772792
frozen vegan vegetarian,frozen,packaged vegetables fruits,produce,38659,1.2025043594243507,1.3453780242258493
ice cream ice,frozen,laundry,household,11816,0.3675416206047266,1.3453757699371556
more household,household,cereal,breakfast,2030,0.06314399880057509,1.3452033210454846
protein meal replacements,personal care,dish detergents,household,1203,0.03741981800841961,1.3449833488726384
tofu meat alternatives,deli,buns rolls,bakery,4634,0.14414250760683,1.3447920529217987
fresh herbs,produce,skin care,personal care,1154,0.03589565252012987,1.3447536299759595
fresh pasta,dry goods pasta,condiments,pantry,2740,0.08522884567171217,1.3445759086923375
laundry,household,water seltzer sparkling water,beverages,20556,0.6394029750466115,1.3445447186273265
trash bags liners,household,frozen pizza,frozen,1774,0.05518101175971438,1.3444907207383179
prepared meals,deli,breakfast bars pastries,breakfast,2173,0.06759207359293086,1.344409665383941
refrigerated,beverages,frozen vegan vegetarian,frozen,14067,0.4375599168116698,1.3440803391354812
asian foods,international,lunch meat,deli,19345,0.601734313693165,1.3440499690084482
frozen meals,frozen,packaged poultry,meat,11397,0.35450845040894297,1.3440197456311107
prepared meals,deli,other creams cheeses,dairy eggs,10202,0.3173374757455502,1.343986929892481
soup broth bouillon,canned goods,baby food formula,babies,16608,0.5165987842758379,1.343786655621367
spreads,pantry,tea,beverages,19014,0.5914384202926771,1.3436497119432234
fresh herbs,produce,fresh fruits,produce,224804,6.992622416928315,1.3436311348794119
butter,dairy eggs,packaged poultry,meat,11513,0.35811667891183296,1.343568586760288
canned meals beans,canned goods,deodorants,personal care,1301,0.040468148984999106,1.343444872022759
more household,household,breakfast bakery,bakery,1506,0.046844759701313333,1.3433318194085855
bakery desserts,bakery,canned fruit applesauce,canned goods,1070,0.03328279739734745,1.343228565825519
ice cream ice,frozen,facial care,personal care,1638,0.050950674894257135,1.3431307078909485
buns rolls,bakery,spreads,pantry,10915,0.3395156388710724,1.3430388328205627
deodorants,personal care,lunch meat,deli,1941,0.06037561658715085,1.3429025594320396
fruit vegetable snacks,snacks,soy lactosefree,dairy eggs,33814,1.0517986085924362,1.3427892585589354
latino foods,international,yogurt,dairy eggs,24037,0.7476809355514399,1.342686307612431
hair care,personal care,spreads,pantry,2652,0.0824915688764163,1.3426537808863528
canned fruit applesauce,canned goods,packaged vegetables fruits,produce,38317,1.1918663064244508,1.342645582128151
granola,breakfast,salad dressing toppings,pantry,3273,0.10180803353412918,1.3425603296388522
specialty cheeses,dairy eggs,honeys syrups nectars,pantry,2084,0.06482369137950662,1.3422212274401615
preserved dips spreads,pantry,food storage,household,2387,0.07424863307240036,1.3421509449472355
coffee,beverages,lunch meat,deli,25020,0.77825756157162,1.3421163449487767
popcorn jerky,snacks,dog food care,pets,1584,0.049270982315325576,1.3421110449946818
frozen vegan vegetarian,frozen,breakfast bars pastries,breakfast,1937,0.0602511949146374,1.3420321259621244
soup broth bouillon,canned goods,ice cream toppings,snacks,1133,0.035242438739434265,1.3419373249189086
laundry,household,tortillas flat bread,bakery,6039,0.18784562007717875,1.3417962055607906
dog food care,pets,canned meals beans,canned goods,2426,0.07546174437940648,1.341674754654367
preserved dips spreads,pantry,refrigerated pudding desserts,dairy eggs,1361,0.04233447407270083,1.3416132665191183
packaged poultry,meat,frozen breads doughs,frozen,1875,0.05832265899067895,1.34159014469045
buns rolls,bakery,milk,dairy eggs,34263,1.065764941332071,1.3415899634819857
mint gum,snacks,cream,dairy eggs,2262,0.07036045580635508,1.3408217506705693
energy granola bars,snacks,dry pasta,dry goods pasta,26345,0.8194722405916998,1.3407244813696404
pasta sauce,dry goods pasta,popcorn jerky,snacks,12144,0.3777441977508294,1.340669790453918
popcorn jerky,snacks,air fresheners candles,household,1002,0.031167628964618832,1.3405464087271663
energy granola bars,snacks,oral hygiene,personal care,6458,0.20087879027296246,1.3403065918096981
specialty cheeses,dairy eggs,frozen pizza,frozen,4454,0.13854353234372482,1.3402599478596964
seafood counter,seafood,lunch meat,deli,4088,0.1271589493087443,1.340013506848621
fresh herbs,produce,soy lactosefree,dairy eggs,68320,2.125122166529699,1.3399816135170257
pasta sauce,dry goods pasta,deodorants,personal care,1155,0.03592675793825824,1.3399302147119698
instant foods,dry goods pasta,muscles joints pain relief,personal care,1227,0.0381663480435003,1.3398280792521042
asian foods,international,frozen pizza,frozen,7988,0.2484700800093565,1.3395425112887558
granola,breakfast,juice nectars,beverages,10823,0.3366539404032631,1.3395178083698522
dog food care,pets,condiments,pantry,2076,0.06457484803447974,1.3392871198498548
more household,household,frozen appetizers sides,frozen,1130,0.03514912248504918,1.3392152644408886
bread,bakery,frozen dessert,frozen,4121,0.12818542810698025,1.3390861770846612
butter,dairy eggs,cereal,breakfast,29743,0.9251684513918742,1.3389524850416479
asian foods,international,cocoa drink mixes,beverages,1053,0.0327540052891653,1.3388774556252045
ice cream ice,frozen,lunch meat,deli,49090,1.5269649759212958,1.3388287826835772
frozen breakfast,frozen,digestion,personal care,2077,0.0646059534526081,1.3387536488110867
fresh dips tapenades,deli,baby accessories,babies,1059,0.03294063779793547,1.3383497302180185
prepared soups salads,deli,juice nectars,beverages,7566,0.2353435935591877,1.3382767593610545
packaged poultry,meat,fresh dips tapenades,deli,15034,0.4676388561417959,1.3382518665852325
specialty cheeses,dairy eggs,frozen vegan vegetarian,frozen,2516,0.07826123201095907,1.337992039010351
pasta sauce,dry goods pasta,milk,dairy eggs,65187,2.0276688915335406,1.3379751665861785
honeys syrups nectars,pantry,candy chocolate,snacks,6017,0.1871613008783548,1.3377057659189147
instant foods,dry goods pasta,granola,breakfast,6213,0.19325796283151378,1.3376681398680073
frozen breads doughs,frozen,nuts seeds dried fruit,snacks,4226,0.13145149701045827,1.3374003440626288
refrigerated,beverages,frozen breads doughs,frozen,7000,0.21773792689853474,1.3373883634452226
dish detergents,household,eggs,dairy eggs,16123,0.5015126564835822,1.3372594734841117
buns rolls,bakery,eggs,dairy eggs,19135,0.5952021758862089,1.337152905582755
soup broth bouillon,canned goods,soy lactosefree,dairy eggs,60776,1.8904628921693354,1.3371458695312897
marinades meat preparation,pantry,tofu meat alternatives,deli,2575,0.08009645168053242,1.3368788162059422
coffee,beverages,tortillas flat bread,bakery,13481,0.4193321417884496,1.3366784960062164
ice cream ice,frozen,food storage,household,8210,0.2553754828338529,1.3363823577348313
specialty cheeses,dairy eggs,baby food formula,babies,4760,0.14806179029100364,1.3363431743218055
baking ingredients,pantry,meat counter,meat,7081,0.22025746576693206,1.335983146925607
frozen breakfast,frozen,trash bags liners,household,2519,0.07835454826534415,1.3359605992871717
hair care,personal care,lunch meat,deli,3525,0.10964659890247642,1.3358319386958475
diapers wipes,babies,spreads,pantry,2295,0.07138693460459103,1.33568575826912
first aid,personal care,cereal,breakfast,1182,0.03676660422772401,1.3355629430596174
kosher foods,international,frozen meals,frozen,1047,0.03256737278039513,1.3352583493572063
candy chocolate,snacks,cream,dairy eggs,27392,0.8520396133720949,1.3351149139478717
packaged cheese,dairy eggs,frozen juice,frozen,1299,0.040405938148742375,1.3350968433610153
prepared meals,deli,soup broth bouillon,canned goods,9754,0.30340224842404395,1.3349536680838494
fruit vegetable snacks,snacks,water seltzer sparkling water,beverages,37827,1.1766246515415535,1.3349120238794148
fresh dips tapenades,deli,skin care,personal care,1201,0.03735760717216289,1.3348773104280323
cat food care,pets,candy chocolate,snacks,3220,0.100159446373326,1.334875120558817
breakfast bars pastries,breakfast,baby food formula,babies,3649,0.11350367075039333,1.3346743347993575
fresh pasta,dry goods pasta,fresh vegetables,produce,20229,0.6292315033186371,1.3345120321123978
oils vinegars,pantry,soy lactosefree,dairy eggs,49300,1.5334971137282518,1.3344462221489404
soap,personal care,canned meat seafood,canned goods,1394,0.04336095287093678,1.3342285494173227
packaged cheese,dairy eggs,cookies cakes,snacks,58112,1.8075980582753788,1.3341800848597272
refrigerated,beverages,crackers,snacks,65684,2.0431282843433367,1.3338962090777415
indian foods,international,cereal,breakfast,1632,0.05076404238548696,1.3338872825189279
juice nectars,beverages,muscles joints pain relief,personal care,2125,0.06609901352276948,1.3338815038478002
pasta sauce,dry goods pasta,refrigerated,beverages,35506,1.104428976065625,1.333616285391054
soup broth bouillon,canned goods,breakfast bakery,bakery,24533,0.7631092229431076,1.3335943001370536
ice cream ice,frozen,baby accessories,babies,1182,0.03676660422772401,1.333485817962367
red wines,alcohol,frozen pizza,frozen,1453,0.04519617254051014,1.3333220619306776
fresh dips tapenades,deli,canned jarred vegetables,canned goods,30891,0.9608774714032339,1.3330659570141137
facial care,personal care,juice nectars,beverages,1327,0.04127688985633651,1.332946492011274
specialty cheeses,dairy eggs,spreads,pantry,8002,0.2489055558631536,1.33279522501683
prepared meals,deli,yogurt,dairy eggs,30800,0.9580468783535528,1.3324821648073761
refrigerated pudding desserts,dairy eggs,baby food formula,babies,1964,0.061091041204103184,1.3324156894543864
bakery desserts,bakery,crackers,snacks,5028,0.15639804234940466,1.33236722500846
baking ingredients,pantry,oral hygiene,personal care,5695,0.1771453562410222,1.3323490770164557
packaged seafood,seafood,spices seasonings,pantry,1427,0.04438743166917273,1.3322791536406464
dish detergents,household,lunch meat,deli,12187,0.379081730730349,1.3322356370536508
fresh dips tapenades,deli,soup broth bouillon,canned goods,34942,1.0868855202412286,1.332211188408494
soap,personal care,preserved dips spreads,pantry,2320,0.0721645700578001,1.3321751469127527
milk,dairy eggs,hot dogs bacon sausage,meat,88011,2.7376189548952774,1.3319838393931644
baking ingredients,pantry,refrigerated pudding desserts,dairy eggs,3264,0.10152808477097391,1.3316335989397223
frozen pizza,frozen,eggs,dairy eggs,25255,0.7855673348317851,1.331628728279181
butter,dairy eggs,trash bags liners,household,3048,0.09480931445524769,1.3314097435144854
refrigerated,beverages,yogurt,dairy eggs,150672,4.686715560236576,1.3313685359748355
ice cream ice,frozen,tortillas flat bread,bakery,26409,0.8214629873519149,1.331330732681606
canned jarred vegetables,canned goods,baby food formula,babies,14537,0.452179463332,1.3313190038235452
protein meal replacements,personal care,frozen appetizers sides,frozen,2249,0.06995608537068637,1.3312285133570652
baby accessories,babies,milk,dairy eggs,2629,0.08177614425946399,1.3311755451253422
fresh pasta,dry goods pasta,energy sports drinks,beverages,1097,0.03412264368681323,1.3310924765257597
bulk dried fruits vegetables,bulk,soy lactosefree,dairy eggs,3895,0.12115560360997041,1.3308180484329568
facial care,personal care,breakfast bakery,bakery,1016,0.031603104818415904,1.3306032332295823
nuts seeds dried fruit,snacks,yogurt,dairy eggs,90900,2.8274825078681154,1.3304607197488918
oral hygiene,personal care,chips pretzels,snacks,12400,0.38570718479169014,1.3304059348738575
dog food care,pets,bread,bakery,5664,0.17618108827904297,1.3303991677560099
packaged poultry,meat,cereal,breakfast,14109,0.438866344373061,1.330273263902555
ice cream ice,frozen,muscles joints pain relief,personal care,2596,0.08074966546122803,1.3302264900196794
coffee,beverages,eggs,dairy eggs,32680,1.0165250644348736,1.3300577606317012
prepared meals,deli,dry pasta,dry goods pasta,8241,0.2563397507958321,1.3297608695702126
specialty cheeses,dairy eggs,fruit vegetable snacks,snacks,4735,0.14728415483779458,1.3296650730220598
soup broth bouillon,canned goods,cereal,breakfast,32924,1.024114786458194,1.3295945540948986
indian foods,international,other creams cheeses,dairy eggs,1522,0.04734244639136713,1.3295138375686428
fresh dips tapenades,deli,hot dogs bacon sausage,meat,35196,1.0947862964458326,1.3294873831172458
cookies cakes,snacks,indian foods,international,1038,0.03228742401723987,1.3291777487600613
frozen meat seafood,frozen,plates bowls cups flatware,household,1011,0.03144757772777409,1.329096273990048
popcorn jerky,snacks,dish detergents,household,5317,0.16538750818850131,1.3290805571884188
paper goods,household,soup broth bouillon,canned goods,22329,0.6945528813881975,1.3288965661555772
honeys syrups nectars,pantry,preserved dips spreads,pantry,2730,0.08491779149042855,1.3286645458325166
fresh fruits,produce,baby food formula,babies,109799,3.4153438050760307,1.328383605483039
protein meal replacements,personal care,soup broth bouillon,canned goods,3614,0.11241498111590066,1.3280798792169537
food storage,household,nuts seeds dried fruit,snacks,5997,0.18653919251578754,1.3280363622214495
condiments,pantry,juice nectars,beverages,22830,0.7101366958705069,1.3279716714426255
coffee,beverages,white wines,alcohol,1872,0.05822934273629386,1.327894017301086
refrigerated,beverages,soy lactosefree,dairy eggs,96805,3.011160001916094,1.3277715855510666
vitamins supplements,personal care,grains rice dried goods,dry goods pasta,2165,0.06734323024790397,1.3277554212643727
trash bags liners,household,hot dogs bacon sausage,meat,3420,0.10638052999899841,1.327745102635689
butter,dairy eggs,baby food formula,babies,14716,0.45774733317697675,1.327322715759847
preserved dips spreads,pantry,juice nectars,beverages,12142,0.3776819869145727,1.3273168179524315
cream,dairy eggs,soup broth bouillon,canned goods,32616,1.0145343176746586,1.3273129888940265
candy chocolate,snacks,frozen breads doughs,frozen,3616,0.11247719195215738,1.327276095620104
cookies cakes,snacks,tortillas flat bread,bakery,14163,0.4405460369519925,1.3272723144228342
packaged seafood,seafood,spreads,pantry,2124,0.06606790810464112,1.3271442118200185
prepared soups salads,deli,frozen meat seafood,frozen,1780,0.05536764426848455,1.3270607399124235
soy lactosefree,dairy eggs,tortillas flat bread,bakery,40716,1.2664882045143915,1.3268541708247816
bulk grains rice dried goods,bulk,baby food formula,babies,1030,0.03203858067221297,1.326553503849447
prepared meals,deli,packaged vegetables fruits,produce,42686,1.327765878227265,1.326532155817258
buns rolls,bakery,asian foods,international,5968,0.18563713539006507,1.3263681411799066
frozen pizza,frozen,spirits,alcohol,1309,0.04071699233002599,1.3263431113504585
lunch meat,deli,frozen produce,frozen,54551,1.6968316643202814,1.3262050147510445
granola,breakfast,eggs,dairy eggs,16387,0.5097244868694698,1.3261568296058805
hair care,personal care,packaged poultry,meat,1201,0.03735760717216289,1.3260633789263978
preserved dips spreads,pantry,packaged vegetables fruits,produce,49671,1.545037223853874,1.3259762214022908
vitamins supplements,personal care,paper goods,household,3330,0.10358104236744582,1.325926768610903
oils vinegars,pantry,digestion,personal care,2263,0.07039156122448345,1.3259090481848652
pickled goods olives,pantry,cleaning products,household,3737,0.11624094754568919,1.3257711198054252
pasta sauce,dry goods pasta,soy lactosefree,dairy eggs,44835,1.394611421785115,1.3254229912288467
ice cream ice,frozen,trash bags liners,household,4456,0.13860574317998156,1.325351868472585
oral hygiene,personal care,grains rice dried goods,dry goods pasta,3007,0.09353399231198485,1.3253029982604716
ice cream ice,frozen,baby bath body care,babies,1157,0.035988968774514955,1.3252974366830066
other creams cheeses,dairy eggs,plates bowls cups flatware,household,4104,0.1276566359987981,1.3250958848449401
popcorn jerky,snacks,asian foods,international,8339,0.2593880817724116,1.3248327759186582
coffee,beverages,juice nectars,beverages,21282,0.6619855086078024,1.324665706791283
refrigerated,beverages,baby bath body care,babies,1408,0.04379642872473385,1.3246421100317538
coffee,beverages,fruit vegetable snacks,snacks,10963,0.34100869894123376,1.3246083509049504
frozen vegan vegetarian,frozen,cookies cakes,snacks,6125,0.1905206860362179,1.3245998766628342
energy granola bars,snacks,honeys syrups nectars,pantry,7411,0.23052225374929156,1.3242704978959554
fruit vegetable snacks,snacks,frozen produce,frozen,24183,0.7522223265981809,1.3242602401109418
pasta sauce,dry goods pasta,paper goods,household,16559,0.5150746187875481,1.3241789005627587
cream,dairy eggs,dry pasta,dry goods pasta,27594,0.858322907834024,1.32393754690025
cleaning products,household,hot cereal pancake mixes,breakfast,5294,0.164672083571549,1.3238698221898662
packaged cheese,dairy eggs,ice cream toppings,snacks,3080,0.0958046878353553,1.323757106436479
energy granola bars,snacks,dish detergents,household,10080,0.31354261473389006,1.3237528473350222
soup broth bouillon,canned goods,air fresheners candles,household,1813,0.05639412306672051,1.3237382105680613
energy granola bars,snacks,cream,dairy eggs,33789,1.0510209731392273,1.3236999310068163
preserved dips spreads,pantry,fresh vegetables,produce,60029,1.8672271448274487,1.3236747312131942
